Cafï¿½/Restaurant Name,Street Address,Post Code,Number of Chairs,Category
Barburrito,62 The Headrow,LS1 8EQ,8,ls1 small
Becketts Bank (Wetherspoons),28 - 30 Park Row,LS1 5HU,6,ls1 small
BHS,49 Boar Lane,LS1 5EL,6,ls1 small
"Greggs, Briggate","Unit, 7 Central Arcade",LS1 6DX,4,ls1 small
Hourglass,157 - 158 Lower Briggate,LS1 6BG,10,ls1 small
Las Iguanas,3 Cloth Hall St,LS1 2HD,4,ls1 small
Leeds Tapped,51 Boar Ln,LS1 5EL,10,ls1 small
Patisserie Valerie,50A Albion Street,LS1 6AD,8,ls1 small
Safran,81 Kirkgate,LS2 7DJ,6,ls2 small
San Co Co,12 New Briggate,LS1 6NU,6,ls1 small
Sandinista,5 Cross Belgrave Street,LS2 8JP,18,ls2 small
Souvlaki restaurant and Bar,18 Great George Street,LS1 3DW,6,ls1 small
"Starbucks, Briggate",80 Briggate,LS1 6LQ,2,ls1 small
"Starbucks, Headrow",13 The Headrow,LS1 8EQ,8,ls1 small
Zizzi Restaurant,2 Cloth Hall Street,LS1 2HD,6,ls1 small
